,Character,Text,total_number,Label
1,Sokka,its not getting away from me this time    watch and learn  katara  this is how you catch a fish ,1,positive
3,Katara,  sokka  look ,1,positive
4,Sokka,  sshh  katara  youre going to scare it away    mmmm     i can already smell it cookin ,1,positive
6,Katara,  but  sokka  i caught one ,1,positive
8,Katara,  hey ,1,positive
10,Sokka,why is it that every time you play with magic water  i get soaked ,1,positive
12,Katara,  its not  magic   its waterbending  and its    ,1,positive
13,Sokka,  yeah  yeah   an ancient art unique to our culture   blah  blah  blah  look  im just saying   that if i had weird powers  id keep my weirdness to myself ,1,positive
14,Katara,  youre calling me weird  im not the one who makes muscles at myself every time i see my reflection in the water ,1,positive
16,Katara,watch out  go left  go left ,1,positive
18,Katara,  you call that left ,1,positive
19,Sokka,you dont like my steering  well  maybe you shouldve   waterbended us out of the ice ,1,positive
21,Katara,  so its my fault ,1,positive
22,Sokka,  i knew i shouldve left you home    leave it to a girl to screw things up ,1,positive
24,Katara,you are the most sexist    immature    nut brained       im embarrassed   to be related to you ,1,positive
26,Katara,ever since mom died    ive been doing all the work around camp while youve been off playing soldier ,1,positive
28,Sokka,  uh     katara    ,1,positive
29,Katara,  i even wash all the clothes  have you ever smelled your dirty socks  let me tell you  not pleasant ,1,positive
31,Sokka,  katara  settle down ,1,positive
32,Katara,no thats it  im done helping you  from now on  youre on your own ,1,positive
34,Sokka,okay  youve gone from  weird  to  freakish     katara ,1,positive
35,Katara,  you mean i did that ,1,positive
36,Sokka,  yep    congratulations ,1,positive
38,Katara,hes alive  we have to help ,1,positive
40,Sokka,katara  get back here    we dont know what that thing is ,1,positive
42,Zuko,finally    uncle  do you realize what this means  ,1,positive
43,Iroh,  i wont get to finish my game ,1,positive
44,Zuko,  it means my search is about to come to an end ,1,positive
46,Zuko,  that light came from an incredibly powerful source    it has to be him ,1,positive
47,Iroh,  or its just the celestial lights  weve been down this road before  prince zuko    i dont want you to get too excited over nothing    please  sit  why dont you enjoy a cup of calming jasmine tea ,1,positive
48,Zuko,  i dont need any calming tea  i need to capture the avatar  helmsman  head a course for the light ,1,positive
50,Sokka,  stop ,1,positive
52,Katara,  stop it ,1,positive
54,Aang,  i need to ask you something    ,1,positive
55,Katara,what ,1,positive
56,Aang,please     come closer ,1,positive
57,Katara,  what is it ,1,positive
58,Aang,  will you go penguin sledding with me ,1,positive
59,Katara,  uh  sure     i i guess ,1,positive
61,Aang,  whats going on here ,1,positive
62,Sokka,  you tell us    how did you get in the ice  and why arent you frozen   ,1,positive
63,Aang,  im not sure ,1,positive
65,Aang,  appa  are you all right    wake up  buddy ,1,positive
67,Aang,  ha  ha  youre okay ,1,positive
69,Sokka,what is that thing ,1,positive
70,Aang,this is appa  my flying bison ,1,positive
71,Sokka,  right  and this is katara  my flying sister   ,1,positive
73,Aang,  dont worry  itll wash out    so do you guys live around here ,1,positive
74,Sokka,  dont answer that  did you see that crazy bolt of light   he was probably trying to signal the fire navy ,1,positive
75,Katara,  oh yeah  im sure hes a spy for the fire navy  you can tell by that evil look in his eye    the paranoid one is my brother  sokka  you never told us your name ,1,positive
76,Aang,im a     a a a achoo    im aang   ,1,positive
77,Sokka,  you just sneezed       and flew ten feet in the air ,1,positive
78,Aang,  really  it felt higher than that ,1,positive
79,Katara,  youre an airbender ,1,positive
80,Aang,sure am ,1,positive
81,Sokka,giant light beams  flying bison  airbenders       i think i got midnight sun madness  im going home to where stuff makes sense   ,1,positive
82,Aang,well  if you guys are stuck  appa and i can give you a lift   ,1,positive
83,Katara,wed love a ride  thanks   ,1,positive
84,Sokka,oh no  im not getting on that fluffy snot monster ,1,positive
85,Katara,  are you hoping some other kind of monster will come along and give you a ride home  you know  before you freeze to death ,1,positive
87,Aang,okay  first time flyers  hold on tight  appa  yip yip ,1,positive
89,Aang,come on  appa  yip yip ,1,positive
90,Sokka,  wow  that was truly amazing    ,1,positive
91,Aang,  appas just a little tired  a little rest and hell be soaring through the sky  youll see   ,1,positive
92,Katara,  why are you smiling at me like that ,1,positive
93,Aang,oh  i was smiling   ,1,positive
95,Iroh,im going to bed now    yep  a man needs his rest    prince zuko  you need some sleep  even if youre right  and the avatar is alive  you wont find him  your father  grandfather and great grandfather all tried and failed ,1,positive
96,Zuko,because their honor didnt hinge on the avatars capture  mine does  this cowards hundred years in hiding are over ,1,positive
98,Katara,hey ,1,positive
99,Aang,hey  whatcha thinkin about ,1,positive
100,Katara,i guess i was wondering  your being an airbender and all  if you had any idea what happened to the avatar ,1,positive
101,Aang,oh  no  i didnt know him  i mean  i knew people that knew him  but i didnt  sorry   ,1,positive
102,Katara,okay  just curious    good night ,1,positive
103,Aang,sleep tight ,1,positive
105,Katara,aang  aang  wake up    its okay  were in the village now  come on  get ready    everyones waiting to meet you ,1,positive
107,Katara,aang  this is the entire village    entire village  aang ,1,positive
109,Aang,  uh  why are they all looking at me like that  did appa sneeze on me ,1,positive
112,Aang,  extinct ,1,positive
113,Katara,  aang  this is my grandmother ,1,positive
116,Sokka,  what is this  a weapon  you cant stab anything with this ,1,positive
117,Aang,  its not for stabbing  its for airbending   ,1,positive
119,Aang,not magic  airbending    it lets me control the air currents around my glider and fly ,1,positive
120,Sokka,  ya know  last time i checked  humans cant fly ,1,positive
121,Aang,  check again ,1,positive
127,Sokka,  my watchtower ,1,positive
129,Katara,  that was amazing ,1,positive
131,Sokka,  great  youre an airbender  kataras a waterbender  together you can just waste time all day long   ,1,positive
132,Aang,  youre a waterbender ,1,positive
133,Katara,  well  sort of  not yet ,1,positive
