Accuracy: 0.45957948100252155

n_chords: 1
n_melody: 0
t_prior: 2025.0
e_prior: 50.0
dataset: All
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1]	[-1]
[-1]	[1]
[-1]	[13]
[-1]	[13]
[-1]	[6]
[-1]	[8]
[-1]	[22]
[-1]	[1]
[-1]	[8]
[-1]	[15]
[-1]	[15]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[6]
[-1]	[1]
[-1]	[20]
[-1]	[1]
[-1]	[1]
[-1]	[13]
[-1]	[13]
[-1]	[6]
[-1]	[8]
[-1]	[22]
[-1]	[1]
[-1]	[8]
[-1]	[15]
[-1]	[15]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[6]
[-1]	[1]
[-1]	[20]
[-1]	[1]
[19]	[10]
[18]	[3]
[8]	[5]
[8]	[6]
[8]	[6]
[8]	[22]
[8]	[5]
[8]	[22]
[8]	[24]
[8]	[1]
[8]	[13]
[8]	[1]
[8]	[15]
[8]	[8]
[-1]	[1]
[1]	[1]
[1]	[6]
[1]	[1]
[1]	[8]
[1]	[22]
[1]	[6]
[1]	[1]
[1]	[6]
[1]	[22]
[1]	[22]
[1]	[17]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[24]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[3]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[3]
[1]	[8]
[1]	[1]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[22]
[1]	[22]
[1]	[1]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[6]
[-1]	[1]
[1]	[1]
[1]	[6]
[1]	[24]
[1]	[1]
[1]	[8]
[1]	[6]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[6]
[8]	[1]
[8]	[15]
[8]	[8]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[8]
[8]	[22]
[8]	[24]
[8]	[5]
[1]	[5]
[1]	[22]
[1]	[8]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[6]
[1]	[1]
[1]	[8]
[-1]	[1]
[-1]	[-1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[10]
[1]	[10]
[1]	[15]
[1]	[8]
[1]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[6]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[6]
[1]	[6]
