Accuracy: 0.43795108280571177

n_chords: 1
n_melody: 0
t_prior: 4000.0
e_prior: 2025.0
dataset: ABC Notation
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1]	[-1]
[1]	[-1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[10]
[1]	[10]
[1]	[15]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[10]
[1]	[10]
[1]	[15]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[8]
[1]	[8]
[1]	[1]
[-1]	[1]
[-1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[10]
[1]	[10]
[1]	[10]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
