Accuracy: 0.018754167362950633

n_chords: 1
n_melody: 1
t_prior: 15.0
e_prior: 0.0

~ First 3000 predicted states ~
Predicted	True
[24 99]	[-1 -1]
[24 99]	[ 1 -1]
[24 99]	[13 68]
[24 99]	[13 66]
[24 99]	[ 6 65]
[24 99]	[ 8 70]
[24 99]	[22 72]
[24 99]	[ 1 73]
[24 99]	[ 8 73]
[24 99]	[15 72]
[24 99]	[15 70]
[24 99]	[ 1 72]
[24 99]	[ 8 73]
[24 99]	[ 8 68]
[24 99]	[ 1 66]
[24 99]	[ 6 65]
[24 99]	[ 1 66]
[24 99]	[20 65]
[24 99]	[ 1 63]
[24 99]	[ 1 61]
[24 99]	[13 68]
[24 99]	[13 66]
[24 99]	[ 6 65]
[24 99]	[ 8 70]
[24 99]	[22 72]
[24 99]	[ 1 73]
[24 99]	[ 8 73]
[24 99]	[15 72]
[24 99]	[15 70]
[24 99]	[ 1 72]
[24 99]	[ 8 73]
[24 99]	[ 8 68]
[24 99]	[ 1 66]
[24 99]	[ 6 65]
[24 99]	[ 1 66]
[24 99]	[20 65]
[24 99]	[ 1 63]
[24 99]	[10 61]
[24 99]	[ 3 65]
[24 99]	[ 5 67]
[24 99]	[ 6 69]
[24 99]	[ 6 70]
[24 99]	[22 72]
[24 99]	[ 5 73]
[24 99]	[22 72]
[24 99]	[24 70]
[24 99]	[ 1 72]
[24 99]	[13 73]
[24 99]	[ 1 75]
[24 99]	[15 77]
[-1 -1]	[ 8 75]
[24 99]	[ 1 75]
[24 99]	[ 1 73]
[24 99]	[ 6 85]
[24 99]	[ 1 85]
[24 99]	[ 8 85]
[24 99]	[22 87]
[24 99]	[ 6 85]
[24 99]	[ 1 90]
[24 99]	[ 6 92]
[24 99]	[22 90]
[24 99]	[22 89]
[24 99]	[17 90]
[24 99]	[ 6 92]
[24 99]	[ 8 94]
[24 99]	[ 8 92]
[24 99]	[ 1 90]
[24 99]	[ 8 89]
[24 99]	[ 1 87]
[24 99]	[ 1 85]
[24 99]	[24 85]
[24 99]	[ 1 90]
[24 99]	[ 1 89]
[24 99]	[ 1 90]
[24 99]	[ 8 92]
[24 99]	[ 1 87]
[24 99]	[ 1 85]
[24 99]	[ 3 84]
[24 99]	[ 8 82]
[24 99]	[ 8 80]
[24 99]	[ 8 80]
[24 99]	[ 3 87]
[24 99]	[ 8 87]
[24 99]	[ 1 87]
[24 99]	[15 89]
[24 99]	[15 90]
[24 99]	[15 89]
