Accuracy: 0.036188141565803585

n_chords: 1
n_melody: 1
t_prior: 22.5
e_prior: 0.0
dataset: JSB Chorales
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[24 97]	[-1 -1]
[24 97]	[ 1 -1]
[24 97]	[13 68]
[24 97]	[13 66]
[24 97]	[ 6 65]
[24 97]	[ 8 70]
[24 97]	[22 72]
[24 97]	[ 1 73]
[24 97]	[ 8 73]
[24 97]	[15 72]
[24 97]	[15 70]
[24 97]	[ 1 72]
[24 97]	[ 8 73]
[24 97]	[ 8 68]
[24 97]	[ 1 66]
[24 97]	[ 6 65]
[24 97]	[ 1 66]
[24 97]	[20 65]
[24 97]	[ 1 63]
[24 97]	[ 1 61]
[24 97]	[13 68]
[24 97]	[13 66]
[24 97]	[ 6 65]
[24 97]	[ 8 70]
[24 97]	[22 72]
[24 97]	[ 1 73]
[24 97]	[ 8 73]
[24 97]	[15 72]
[24 97]	[15 70]
[24 97]	[ 1 72]
[24 97]	[ 8 73]
[24 97]	[ 8 68]
[24 97]	[ 1 66]
[24 97]	[ 6 65]
[24 97]	[ 1 66]
[24 97]	[20 65]
[24 97]	[ 1 63]
[24 97]	[10 61]
[24 97]	[ 3 65]
[24 97]	[ 5 67]
[24 97]	[ 6 69]
[24 97]	[ 6 70]
[24 97]	[22 72]
[24 97]	[ 5 73]
[24 97]	[22 72]
[24 97]	[24 70]
[24 97]	[ 1 72]
[24 97]	[13 73]
[24 97]	[ 1 75]
[24 97]	[15 77]
[-1 -1]	[ 8 75]
[24 97]	[ 1 75]
[24 97]	[ 1 73]
[24 97]	[ 6 85]
[24 97]	[ 1 85]
[24 97]	[ 8 85]
[24 97]	[22 87]
[24 97]	[ 6 85]
[24 97]	[ 1 90]
[24 97]	[ 6 92]
[24 97]	[22 90]
[24 97]	[22 89]
[24 97]	[17 90]
[24 97]	[ 6 92]
[24 97]	[ 8 94]
[24 97]	[ 8 92]
[24 97]	[ 1 90]
[24 97]	[ 8 89]
[24 97]	[ 1 87]
[24 97]	[ 1 85]
[24 97]	[24 85]
[24 97]	[ 1 90]
[24 97]	[ 1 89]
[24 97]	[ 1 90]
[24 97]	[ 8 92]
[24 97]	[ 1 87]
[24 97]	[ 1 85]
[24 97]	[ 3 84]
[24 97]	[ 8 82]
[24 97]	[ 8 80]
[24 97]	[ 8 80]
[24 97]	[ 3 87]
[24 97]	[ 8 87]
[24 97]	[ 1 87]
[24 97]	[15 89]
[24 97]	[15 90]
[24 97]	[15 89]
[24 97]	[22 87]
[24 97]	[22 85]
[24 97]	[ 1 87]
[24 97]	[ 8 89]
[24 97]	[ 1 87]
[24 97]	[ 1 85]
[-1 -1]	[ 6 85]
[24 97]	[ 1 85]
[24 97]	[ 1 85]
[24 97]	[ 6 77]
[24 97]	[24 73]
[24 97]	[ 1 75]
[24 97]	[ 8 77]
[24 97]	[ 6 80]
[24 97]	[ 8 78]
[24 97]	[ 1 78]
[24 97]	[ 1 77]
[24 97]	[ 6 80]
[24 97]	[ 1 78]
[24 97]	[15 77]
[24 97]	[ 8 75]
[24 97]	[ 1 75]
[24 97]	[ 8 77]
[24 97]	[ 8 75]
[24 97]	[ 8 75]
[24 97]	[ 1 75]
[24 97]	[ 8 77]
[24 97]	[22 75]
[24 97]	[24 73]
[24 97]	[ 5 75]
[24 97]	[ 5 72]
[24 97]	[22 72]
[24 97]	[ 8 73]
[24 97]	[ 1 75]
[24 97]	[ 8 77]
[24 97]	[ 8 75]
[24 97]	[ 6 77]
[24 97]	[ 1 78]
[-1 -1]	[ 8 77]
[24 97]	[ 1 75]
[24 97]	[22 73]
[24 97]	[22 70]
[24 97]	[22 70]
[24 97]	[22 72]
[24 97]	[24 73]
[24 97]	[ 6 72]
[24 97]	[19 70]
[24 97]	[19 69]
[24 97]	[22 70]
[24 97]	[22 70]
[24 97]	[22 68]
[24 97]	[ 5 70]
[24 97]	[ 5 72]
[24 97]	[ 5 72]
[24 97]	[22 73]
[24 97]	[22 73]
[24 97]	[22 72]
[24 97]	[ 3 73]
[24 97]	[ 5 75]
[24 97]	[22 77]
[24 97]	[24 73]
[24 97]	[22 72]
[24 97]	[17 70]
[24 97]	[17 72]
[24 97]	[ 1 72]
[24 97]	[24 73]
[24 97]	[19 75]
[24 97]	[ 8 73]
[24 97]	[22 72]
[24 97]	[ 8 70]
[24 97]	[ 8 68]
[24 97]	[10 75]
[24 97]	[14 77]
[24 97]	[17 79]
[24 97]	[19 80]
[24 97]	[ 1 79]
[24 97]	[12 77]
[24 97]	[ 5 76]
[24 97]	[ 1 77]
[24 97]	[ 1 77]
[24 97]	[ 8 77]
[24 97]	[ 8 75]
[24 97]	[ 8 73]
[24 97]	[ 8 72]
[24 97]	[ 8 73]
[24 97]	[17 75]
[24 97]	[ 5 77]
[24 97]	[22 75]
[24 97]	[ 5 73]
[24 97]	[22 72]
[24 97]	[22 77]
[24 97]	[24 77]
[24 97]	[24 75]
[24 97]	[19 77]
[24 97]	[22 78]
[24 97]	[19 77]
[24 97]	[15 75]
[24 97]	[ 5 73]
[24 97]	[ 5 72]
[24 97]	[ 5 72]
[24 97]	[22 73]
[24 97]	[22 73]
[24 97]	[22 72]
