Accuracy: 0.4910394265232975

n_chords: 1
n_melody: 1
t_prior: 22.5
e_prior: 15.0
dataset: All
keys: phrygian
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[ 1 76]	[ 1 -1]
[ 1 78]	[ 1 73]
[ 1 80]	[ 1 76]
[ 1 78]	[ 1 76]
[ 1 80]	[ 1 80]
[ 1 80]	[ 1 80]
[ 1 78]	[ 1 78]
[ 1 80]	[ 1 78]
[ 1 78]	[ 1 80]
[ 1 76]	[ 1 80]
[ 1 76]	[ 1 76]
[ 1 76]	[ 1 76]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 74]
[ 1 74]	[ 1 74]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 76]
[ 1 73]	[24 74]
[ 1 73]	[24 73]
[ 1 73]	[24 71]
[ 1 73]	[24 73]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 80]	[1 0]
[ 1 78]	[24 73]
[ 1 80]	[24 83]
[ 1 81]	[24 86]
[ 1 80]	[24 85]
[ 1 78]	[24 83]
[ 1 80]	[24 81]
[ 1 78]	[24 80]
[ 1 80]	[24 78]
[ 1 81]	[24 80]
[ 1 80]	[24 81]
[ 1 78]	[24 83]
[ 1 80]	[24 81]
[ 1 78]	[24 80]
[ 1 80]	[24 78]
[ 1 78]	[24 76]
[ 1 80]	[24 78]
[ 1 81]	[24 80]
[ 1 80]	[24 81]
[ 1 78]	[24 83]
[ 1 80]	[24 81]
[ 1 78]	[24 80]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 76]
[ 1 74]	[ 1 78]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 76]
[ 1 73]	[24 73]
[ 1 73]	[24 71]
[ 1 73]	[24 73]
[ 1 73]	[24 74]
[ 1 73]	[24 71]
[ 1 73]	[24 73]
[ 1 73]	[24 74]
[ 1 73]	[24 71]
[ 1 73]	[24 73]
[ 1 73]	[24 74]
[ 1 73]	[24 71]
[ 1 73]	[24 71]
[ 1 73]	[24 70]
[ 1 76]	[24 71]
[ 1 78]	[24 73]
[ 1 80]	[24 74]
[ 1 78]	[24 76]
[ 1 76]	[24 78]
[ 1 74]	[24 76]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[-1 -1]	[ 1 73]
[ 1 80]	[1 0]
[ 1 78]	[ 1 77]
[ 1 76]	[ 1 78]
[ 1 76]	[ 1 76]
[ 1 78]	[ 1 74]
[ 1 80]	[ 1 73]
[ 1 78]	[ 1 80]
[ 1 80]	[ 1 81]
[ 1 80]	[ 1 80]
[ 1 78]	[ 1 78]
[ 1 80]	[ 1 78]
[ 1 78]	[ 1 77]
[ 1 76]	[ 1 78]
[ 1 74]	[ 1 76]
[ 1 73]	[ 1 74]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 77]
[ 1 73]	[ 1 76]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[ 1 73]	[ 1 73]
[18 85]	[ 1 73]
[18 85]	[ 6 73]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 6 85]
[18 85]	[ 1 85]
[18 85]	[ 1 85]
[18 85]	[ 6 85]
