Accuracy: 0.459807604970893

n_chords: 1
n_melody: 1
t_prior: 30.0
e_prior: 7.5
dataset: All
keys: dorian
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1]	[-1 -1]
[13 78]	[13 -1]
[13 80]	[13 73]
[13 78]	[13 80]
[13 80]	[12 78]
[13 80]	[12 75]
[13 78]	[12 78]
[13 80]	[13 78]
[13 78]	[13 80]
[13 80]	[13 78]
[13 78]	[20 80]
[13 80]	[20 83]
[13 73]	[20 80]
[13 73]	[20 78]
[13 73]	[13 75]
[13 80]	[13 73]
[13 78]	[13 80]
[13 80]	[12 78]
[13 80]	[12 75]
[13 78]	[12 78]
[13 80]	[20 78]
[13 80]	[20 80]
[13 73]	[20 83]
[13 73]	[20 78]
[13 73]	[ 6 75]
[13 73]	[ 6 75]
[13 73]	[ 6 73]
[13 73]	[ 6 71]
[13 73]	[13 75]
[13 80]	[13 73]
[13 78]	[13 80]
[13 80]	[12 78]
[13 80]	[12 75]
[13 78]	[12 78]
[13 80]	[13 78]
[13 73]	[13 80]
[13 73]	[13 78]
[13 80]	[20 75]
[13 73]	[20 80]
[13 73]	[20 78]
[13 80]	[13 75]
[13 78]	[13 73]
[13 80]	[13 80]
[13 73]	[13 80]
[13 73]	[12 78]
[13 73]	[12 75]
[13 80]	[12 73]
[13 78]	[12 75]
[13 80]	[20 78]
[13 73]	[20 80]
[13 73]	[20 78]
[13 73]	[ 6 75]
[13 73]	[ 6 75]
[13 73]	[ 6 73]
[13 73]	[ 6 73]
[13 75]	[ 5 73]
[13 73]	[ 5 75]
[13 73]	[ 5 76]
[13 80]	[ 5 71]
[13 85]	[ 5 80]
[13 83]	[ 5 82]
[13 80]	[ 5 83]
[13 78]	[ 5 82]
[13 80]	[ 6 78]
[13 85]	[ 6 80]
[13 85]	[ 6 85]
[13 87]	[ 6 85]
[13 85]	[ 9 87]
[13 85]	[ 9 88]
[13 85]	[ 9 87]
[13 83]	[20 85]
[13 80]	[20 83]
[13 73]	[20 80]
[13 75]	[20 78]
[13 76]	[ 9 75]
[13 78]	[ 9 76]
[13 80]	[20 78]
[13 80]	[20 80]
[13 73]	[20 83]
[13 73]	[20 78]
[13 73]	[ 6 75]
[13 73]	[ 6 75]
[13 75]	[ 6 73]
[13 73]	[ 6 73]
[13 75]	[ 5 76]
[13 76]	[ 5 75]
[13 78]	[ 5 76]
[13 80]	[ 5 78]
[13 80]	[ 5 80]
[13 78]	[ 5 82]
[13 80]	[ 5 83]
[13 78]	[ 5 75]
[13 80]	[ 6 78]
[13 85]	[ 6 80]
[13 85]	[ 6 85]
[13 87]	[ 6 85]
[13 85]	[ 9 87]
[13 85]	[ 9 88]
[13 85]	[ 9 87]
[13 83]	[20 85]
[13 80]	[20 83]
[13 73]	[20 80]
[13 75]	[20 78]
[13 76]	[ 9 75]
[13 78]	[ 9 76]
[13 80]	[12 78]
[13 85]	[12 80]
[13 83]	[12 82]
[13 85]	[12 83]
[13 85]	[12 82]
[13 83]	[18 85]
[12 80]	[18 83]
[12 78]	[18 80]
[-1 -1]	[18 78]
[13 75]	[13 75]
[13 73]	[13 76]
[13 73]	[13 73]
[13 73]	[13 73]
[13 73]	[13 72]
[13 73]	[13 73]
[13 73]	[13 68]
[13 73]	[13 73]
[13 75]	[13 73]
[13 73]	[13 75]
[13 73]	[12 76]
[13 73]	[12 75]
[13 73]	[12 71]
[13 75]	[12 71]
[13 76]	[12 75]
[13 73]	[12 76]
[13 73]	[12 78]
[13 73]	[12 75]
[13 73]	[12 71]
[13 73]	[12 71]
[13 75]	[12 73]
[13 73]	[13 75]
[13 73]	[13 76]
[13 73]	[13 73]
[13 73]	[13 73]
[13 73]	[13 72]
[13 73]	[13 73]
[13 73]	[13 68]
[13 80]	[13 73]
[13 78]	[13 73]
[13 76]	[13 80]
[13 75]	[13 80]
[13 73]	[13 78]
[13 73]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[13 75]
[13 73]	[13 68]
[13 73]	[13 73]
[13 73]	[ 3 73]
[13 75]	[ 3 73]
[13 76]	[ 3 75]
[13 78]	[ 3 76]
[13 80]	[ 5 78]
[13 85]	[ 5 80]
[13 83]	[ 5 82]
[13 80]	[ 5 83]
[12 82]	[ 5 80]
[12 83]	[ 5 82]
[12 80]	[ 5 83]
[12 78]	[12 80]
[12 75]	[12 78]
[12 73]	[12 75]
[13 71]	[12 71]
[13 73]	[12 71]
[13 73]	[13 68]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[ 5 78]
[13 85]	[ 5 80]
[13 80]	[ 5 82]
[13 78]	[ 9 83]
[13 76]	[ 5 85]
[13 75]	[ 5 80]
[13 73]	[ 5 78]
[13 73]	[ 8 76]
[13 73]	[ 8 75]
[13 75]	[ 8 73]
[13 73]	[13 75]
[-1 -1]	[13 76]
[13 87]	[-1 73]
[13 85]	[13 73]
[13 83]	[13 85]
[13 80]	[13 83]
[13 78]	[13 80]
[13 80]	[13 78]
[13 78]	[13 80]
[13 80]	[13 73]
[13 78]	[12 80]
[13 76]	[12 83]
[13 75]	[12 80]
[13 73]	[12 78]
[13 73]	[12 76]
[13 73]	[12 75]
[13 73]	[12 75]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 85]	[13 85]
[13 83]	[13 85]
[13 85]	[12 83]
[13 80]	[12 80]
[13 85]	[12 83]
[13 85]	[12 78]
[13 87]	[12 83]
[13 85]	[12 80]
[13 85]	[12 88]
[13 85]	[13 87]
[13 83]	[13 85]
[13 80]	[13 83]
[13 78]	[13 80]
[13 80]	[13 78]
[13 78]	[13 80]
[13 80]	[13 73]
[13 78]	[12 80]
[13 76]	[12 83]
[13 75]	[12 80]
[13 73]	[12 78]
[13 73]	[12 76]
[13 73]	[12 75]
[13 73]	[12 71]
[13 73]	[13 75]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 85]	[13 85]
[13 83]	[13 85]
[13 85]	[12 83]
[13 80]	[12 80]
[13 80]	[12 83]
[13 73]	[12 78]
[13 73]	[13 83]
[13 73]	[13 75]
[13 73]	[13 73]
[13 80]	[13 73]
[13 85]	[13 80]
[13 83]	[13 85]
[13 80]	[13 83]
[13 85]	[13 80]
[13 85]	[13 78]
[13 85]	[13 80]
[13 85]	[13 83]
[13 87]	[13 85]
[13 88]	[13 87]
[13 87]	[13 88]
[13 85]	[13 90]
[13 85]	[13 88]
[13 87]	[13 85]
[13 85]	[13 87]
[13 85]	[13 88]
[13 85]	[13 87]
[13 80]	[12 85]
[13 73]	[12 83]
[13 73]	[12 78]
[13 80]	[12 75]
[13 85]	[12 76]
[13 85]	[12 78]
[13 85]	[12 83]
[13 85]	[12 83]
[13 85]	[12 85]
[13 85]	[12 87]
[13 85]	[12 83]
[13 85]	[12 83]
[13 85]	[12 87]
[13 85]	[12 92]
[13 85]	[12 90]
[13 85]	[13 87]
[13 83]	[13 85]
[13 80]	[13 83]
[13 85]	[13 80]
[13 85]	[13 78]
[13 85]	[13 80]
[13 85]	[13 83]
[13 87]	[13 85]
[13 85]	[13 87]
[13 85]	[13 88]
[13 85]	[13 85]
[13 85]	[13 85]
[13 83]	[13 87]
[13 80]	[13 88]
[13 78]	[ 5 80]
[13 80]	[ 5 78]
[13 78]	[ 5 76]
[13 80]	[ 5 78]
[12 82]	[ 5 80]
[12 83]	[ 5 82]
[12 80]	[ 5 83]
[12 78]	[12 80]
[12 75]	[12 78]
[12 73]	[12 75]
[-1 -1]	[12 71]
[13 75]	[-1 75]
[13 73]	[ 8 68]
[13 75]	[ 8 73]
[13 76]	[ 8 75]
[13 78]	[ 8 76]
[13 80]	[ 8 78]
[13 78]	[ 8 76]
[13 80]	[ 8 78]
[13 85]	[ 8 80]
[13 85]	[ 8 80]
[13 83]	[ 8 80]
[13 80]	[ 8 83]
[13 78]	[ 8 82]
[13 80]	[ 8 80]
[13 78]	[ 8 80]
[13 80]	[ 8 78]
[13 80]	[ 8 76]
[13 78]	[ 8 80]
[13 75]	[ 8 78]
[13 73]	[ 8 76]
[13 73]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 75]	[ 8 73]
[13 76]	[ 8 75]
[13 78]	[ 8 76]
[13 80]	[ 8 78]
[13 78]	[ 8 76]
[13 80]	[ 8 78]
[13 78]	[ 8 80]
[13 80]	[ 8 80]
[13 78]	[ 8 80]
[13 80]	[ 8 85]
[13 85]	[ 8 80]
[13 80]	[ 8 85]
[13 73]	[ 8 83]
[13 73]	[ 8 82]
[13 73]	[13 80]
[13 75]	[13 73]
[13 76]	[13 75]
[13 78]	[13 76]
[13 80]	[13 78]
[13 78]	[13 76]
[13 80]	[13 78]
[13 85]	[13 80]
[13 85]	[13 80]
[13 83]	[13 80]
[13 80]	[13 83]
[13 78]	[13 82]
[13 80]	[13 80]
[13 78]	[13 80]
[13 80]	[13 78]
[13 80]	[13 76]
[13 78]	[13 80]
[13 75]	[13 78]
[13 73]	[13 76]
[13 73]	[13 76]
[13 73]	[13 75]
[13 85]	[13 75]
[13 83]	[13 73]
[13 85]	[13 83]
[13 83]	[13 82]
[13 85]	[13 83]
[13 80]	[13 82]
[13 78]	[13 83]
[13 80]	[13 82]
[13 85]	[13 80]
[13 80]	[13 85]
[13 78]	[13 83]
[13 80]	[13 82]
[13 78]	[13 80]
[13 80]	[13 78]
[13 78]	[ 8 76]
[13 76]	[ 8 82]
[13 75]	[ 8 80]
[13 73]	[ 8 78]
[13 73]	[ 8 76]
[13 73]	[ 8 75]
[13 73]	[ 8 73]
[13 73]	[13 71]
[13 80]	[13 73]
[13 78]	[10 80]
[13 80]	[10 85]
[13 78]	[10 80]
[13 80]	[10 85]
[13 78]	[10 80]
[13 80]	[10 85]
[13 78]	[10 80]
[13 80]	[10 85]
[13 78]	[10 80]
[13 80]	[10 85]
[13 78]	[10 80]
[13 80]	[10 85]
[13 85]	[10 80]
[13 80]	[10 85]
[13 78]	[10 83]
[13 80]	[10 82]
[13 78]	[10 80]
[13 76]	[10 78]
[13 75]	[10 76]
[13 73]	[10 78]
[13 73]	[10 76]
[13 80]	[10 75]
[13 85]	[10 73]
[13 80]	[10 85]
[13 78]	[10 83]
[13 80]	[10 82]
[13 80]	[10 80]
[13 78]	[10 78]
[13 80]	[10 82]
[13 85]	[10 80]
[13 85]	[10 80]
[13 80]	[10 85]
[13 78]	[10 83]
