Accuracy: 0.026915737671989556

n_chords: 2
n_melody: 1
t_prior: 10.0
e_prior: 0.0
dataset: All
keys: lydian
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[24 24 87]	[-1 -1 -1]
[24 24 87]	[-1  1 -1]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 83]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 83]
[24 24 87]	[ 1  1 83]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 83]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1 12 75]
[24 24 87]	[12 12 71]
[24 24 87]	[12  1 71]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1 12 77]
[24 24 87]	[12 12 75]
[24 24 87]	[12  1 75]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1 12 77]
[24 24 87]	[12 12 75]
[24 24 87]	[12  1 71]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[-1 -1 -1]	[ 1  1 73]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1 -1 80]
[24 24 87]	[-1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1 12 77]
[24 24 87]	[12 12 75]
[24 24 87]	[12 12 71]
[24 24 87]	[12 12 78]
[24 24 87]	[12  1 75]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 75]
[24 24 87]	[ 1  6 73]
[24 24 87]	[ 6  6 85]
[24 24 87]	[ 6  1 80]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1 12 77]
[24 24 87]	[12 12 75]
[24 24 87]	[12 12 71]
[24 24 87]	[12 12 78]
[24 24 87]	[12  1 75]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  8 80]
[24 24 87]	[ 8  8 75]
[24 24 87]	[ 8  1 77]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1 12 82]
[24 24 87]	[12 12 83]
[24 24 87]	[12 12 71]
[24 24 87]	[12 12 78]
[24 24 87]	[12  1 75]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 82]
[24 24 87]	[ 1  1 83]
[24 24 87]	[ 1  1 85]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 85]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1 12 82]
[24 24 87]	[12 12 83]
[24 24 87]	[12 12 71]
[24 24 87]	[12 12 78]
[24 24 87]	[12  1 75]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  8 80]
[-1 -1 -1]	[ 8  8 75]
[24 24 87]	[ 8  1 77]
[24 24 87]	[ 1 -1 73]
[24 24 87]	[-1 -1 80]
[24 24 87]	[-1  1 78]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 78]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1 12 80]
[24 24 87]	[12 12 78]
[24 24 87]	[12 12 75]
[24 24 87]	[12  1 80]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1 20 73]
[24 24 87]	[20 20 80]
[24 24 87]	[20 20 78]
[24 24 87]	[20  1 75]
[24 24 87]	[ 1  1 77]
[24 24 87]	[ 1  1 80]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  1 73]
[24 24 87]	[ 1  6 77]
[24 24 87]	[ 6 20 78]
