Accuracy: 0.43519837232960323

n_chords: 2
n_melody: 1
t_prior: 2.5
e_prior: 5.0
dataset: All
keys: mixolydian
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1 -1]	[-1 -1 -1]
[ 1  1 83]	[-1  1 -1]
[ 1  1 82]	[ 1  1 80]
[ 1  1 80]	[ 1  1 82]
[ 1  1 82]	[ 1  1 83]
[ 1  1 80]	[ 1  1 82]
[ 1  1 78]	[ 1  1 80]
[ 1  1 77]	[ 1  1 78]
[ 1  1 80]	[ 1  1 77]
[ 1  1 85]	[ 1  1 80]
[ 1  1 85]	[ 1  1 82]
[ 1  1 80]	[ 1  1 83]
[ 1  1 78]	[ 1  1 83]
[ 1  1 77]	[ 1  1 82]
[ 1  1 78]	[ 1  1 80]
[ 1  1 80]	[ 1  1 80]
[ 1  1 82]	[ 1  1 80]
[ 1  1 80]	[ 1  1 82]
[ 1  1 78]	[ 1  1 83]
[ 1  1 77]	[ 1  1 82]
[ 1  1 73]	[ 1  1 80]
[ 1  1 73]	[ 1  1 78]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1 12 75]
[ 1  1 73]	[12 12 71]
[ 1  1 73]	[12  1 71]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 77]	[ 1  1 73]
[ 1  1 73]	[ 1  1 80]
[ 1  1 73]	[ 1  1 78]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1 12 77]
[ 1  1 73]	[12 12 75]
[ 1  1 73]	[12  1 75]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 73]
[ 1  1 77]	[ 1  1 73]
[ 1  1 73]	[ 1  1 80]
[ 1  1 73]	[ 1  1 78]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1 12 77]
[ 1  1 73]	[12 12 75]
[ 1  1 73]	[12  1 71]
[ 1  1 73]	[ 1  1 73]
[ 1  1 77]	[ 1  1 73]
[ 1  1 78]	[ 1  1 73]
[-1 -1 -1]	[ 1  1 80]
[ 1  1 75]	[ 1 -1 80]
[ 1  1 73]	[-1  1 78]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1 12 77]
[ 1  1 77]	[12 12 75]
[ 1  1 73]	[12 12 71]
[ 1  1 73]	[12 12 78]
[ 1  1 73]	[12  1 75]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 75]
[ 1  1 73]	[ 1  6 73]
[ 1  1 73]	[ 6  6 85]
[ 1  1 73]	[ 6  1 80]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 73]
[ 1  1 73]	[ 1 12 77]
[ 1  1 77]	[12 12 75]
[ 1  1 73]	[12 12 71]
[ 1  1 73]	[12 12 78]
[ 1  1 77]	[12  1 75]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 78]
[ 1  1 73]	[ 1  8 80]
[ 1  1 73]	[ 8  8 75]
[ 1  1 73]	[ 8  1 77]
[ 1  1 77]	[ 1  1 73]
[ 1  1 78]	[ 1  1 73]
[ 1  1 77]	[ 1  1 78]
[ 1  1 78]	[ 1  1 77]
[ 1  1 80]	[ 1  1 80]
[ 1  1 73]	[ 1  1 80]
[ 1  1 73]	[ 1 12 82]
[ 1  1 77]	[12 12 83]
[ 1  1 73]	[12 12 71]
[ 1  1 73]	[12 12 78]
[ 1  1 77]	[12  1 75]
[ 1  1 80]	[ 1  1 77]
[ 1  1 82]	[ 1  1 80]
[ 1  1 80]	[ 1  1 82]
[ 1  1 82]	[ 1  1 83]
[ 1  1 80]	[ 1  1 85]
[ 1  1 82]	[ 1  1 80]
[ 1  1 80]	[ 1  1 85]
[ 1  1 78]	[ 1  1 80]
[ 1  1 77]	[ 1  1 77]
[ 1  1 80]	[ 1  1 80]
[ 1  1 73]	[ 1  1 80]
[ 1  1 73]	[ 1 12 82]
[ 1  1 77]	[12 12 83]
[ 1  1 73]	[12 12 71]
[ 1  1 73]	[12 12 78]
[ 1  1 77]	[12  1 75]
[ 1  1 73]	[ 1  1 77]
[ 1  1 73]	[ 1  1 78]
[ 1  1 73]	[ 1  8 80]
[ 1  1 73]	[ 8  8 75]
[-1 -1 -1]	[ 8  1 77]
[ 1  1 80]	[ 1 -1 73]
[ 1  1 78]	[-1 -1 80]
