Accuracy: 0.009160033794299435

n_chords: 2
n_melody: 1
t_prior: 5.0
e_prior: 0.0
dataset: FolkWiki
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[24 24 94]	[-1 -1 -1]
[24 24 94]	[-1 -1 -1]
[24 24 94]	[-1 -1 84]
[24 24 94]	[-1 -1 80]
[24 24 94]	[-1 -1 77]
[24 24 94]	[-1 -1 82]
[24 24 94]	[-1 -1 80]
[24 24 94]	[-1 -1 79]
[24 24 94]	[-1 -1 77]
[24 24 94]	[-1 -1 76]
[24 24 94]	[-1 -1 73]
[24 24 94]	[-1 -1 72]
[24 24 94]	[-1 -1 68]
[24 24 94]	[-1 -1 72]
[24 24 94]	[-1 -1 70]
[24 24 94]	[-1 17 68]
[24 24 94]	[17 17 68]
[24 24 94]	[17 17 68]
[24 24 94]	[17 17 72]
[24 24 94]	[17 17 77]
[24 24 94]	[17 17 77]
[24 24 94]	[17 17 78]
[24 24 94]	[17 17 80]
[24 24 94]	[17 17 80]
[24 24 94]	[17 17 82]
[24 24 94]	[17 17 79]
[24 24 94]	[17 17 84]
[24 24 94]	[17 17 82]
[24 24 94]	[17 17 80]
[24 24 94]	[17 17 75]
[24 24 94]	[17 17 75]
[24 24 94]	[17 17 78]
[24 24 94]	[17 17 80]
[24 24 94]	[17 17 75]
[24 24 94]	[17 17 78]
[24 24 94]	[17 17 70]
[24 24 94]	[17 17 70]
[24 24 94]	[17 17 84]
[24 24 94]	[17 17 80]
[24 24 94]	[17 17 77]
[24 24 94]	[17 17 82]
[24 24 94]	[17 17 80]
[24 24 94]	[17 17 79]
[24 24 94]	[17 17 77]
[24 24 94]	[17 17 76]
[24 24 94]	[17 17 73]
[24 24 94]	[17 17 72]
[24 24 94]	[17 17 68]
[24 24 94]	[17 17 72]
[24 24 94]	[17 17 70]
[24 24 94]	[17 17 68]
[24 24 94]	[17 17 68]
[24 24 94]	[17 17 68]
[24 24 94]	[17 17 72]
