Accuracy: 0.4319572953736655

n_chords: 2
n_melody: 2
t_prior: 1.0
e_prior: 0.5
dataset: Nottingham
keys: All
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1 -1 -1 -1]	[-1 -1 -1 -1]
[ 8  8 87 89]	[-1 -1 -1 -1]
[ 8  1 89 90]	[-1 -1 -1 89]
[ 1  1 90 92]	[-1  1 89 90]
[ 1  1 92 89]	[ 1  1 90 92]
[ 1  1 89 90]	[ 1  1 92 92]
[ 1  1 90 92]	[ 1  1 92 94]
[ 1  1 92 94]	[ 1  1 94 92]
[ 1  1 94 92]	[ 1  1 92 91]
[ 1  1 92 89]	[ 1  1 91 92]
[ 1  1 89 85]	[ 1  1 92 89]
[ 1  1 85 85]	[ 1  1 89 85]
[ 1  1 85 85]	[ 1  8 85 89]
[ 1  1 85 85]	[ 8  8 89 87]
[ 1  1 85 89]	[ 8  8 87 84]
[ 1  1 89 85]	[ 8  8 84 80]
[ 1  1 85 85]	[ 8  1 80 90]
[ 1  1 85 84]	[ 1  1 90 89]
[ 1  1 84 85]	[ 1  1 89 85]
[ 1  1 85 87]	[ 1  8 85 82]
[ 1  1 87 89]	[ 8  8 82 80]
[ 1  1 89 90]	[ 8  8 80 89]
[ 1  1 90 92]	[ 8  1 89 90]
[ 1  1 92 89]	[ 1  1 90 92]
[ 1  1 89 90]	[ 1  1 92 92]
[ 1  1 90 92]	[ 1  1 92 94]
[ 1  1 92 94]	[ 1  1 94 92]
[ 1  1 94 92]	[ 1  1 92 91]
[ 1  1 92 89]	[ 1  1 91 92]
[ 1  1 89 85]	[ 1  1 92 89]
[ 1  8 85 89]	[ 1  1 89 85]
[ 8  8 89 87]	[ 1  8 85 89]
[ 8  8 87 84]	[ 8  8 89 87]
[ 8  8 84 80]	[ 8  8 87 84]
[ 8  8 80 82]	[ 8  8 84 80]
[ 8  1 82 84]	[ 8  8 80 82]
[ 1  1 84 85]	[ 8  1 82 84]
[ 1  1 85 85]	[ 1  1 84 85]
[ 1  1 85 80]	[ 1  1 85 85]
[ 1  1 80 77]	[ 1  1 85 84]
[ 1  1 77 80]	[ 1  1 84 82]
[ 1  1 80 80]	[ 1  1 82 80]
[ 1  1 80 82]	[ 1  8 80 82]
[ 1  1 82 80]	[ 8  8 82 78]
[ 1  1 80 77]	[ 8  1 78 80]
[ 1  1 77 80]	[ 1  1 80 77]
[ 1  1 80 85]	[ 1  1 77 80]
[ 1  1 85 87]	[ 1  1 80 85]
[ 1  1 87 89]	[ 1  1 85 87]
[ 1  8 89 85]	[ 1 15 87 89]
[ 8  8 85 84]	[15 15 89 90]
[ 8  8 84 80]	[15  8 90 87]
[ 8  8 80 82]	[ 8  8 87 84]
[ 8  1 82 84]	[ 8  8 84 82]
[ 1  1 84 85]	[ 8  1 82 84]
[ 1  1 85 85]	[ 1  1 84 85]
[ 1  1 85 84]	[ 1  1 85 89]
[ 1  1 84 85]	[ 1  6 89 87]
[ 1  1 85 80]	[ 6  6 87 85]
[ 1  1 80 77]	[ 6  6 85 84]
[ 1  1 77 80]	[ 6  1 84 82]
[ 1  1 80 80]	[ 1  1 82 80]
[ 1  1 80 82]	[ 1  8 80 82]
[ 1  1 82 80]	[ 8  8 82 78]
[ 1  1 80 77]	[ 8  1 78 80]
[ 1  1 77 80]	[ 1  1 80 77]
[ 1  1 80 85]	[ 1  1 77 80]
[ 1  1 85 87]	[ 1  1 80 85]
[ 1  1 87 89]	[ 1  1 85 87]
[ 1  8 89 85]	[ 1  6 87 89]
[ 8  8 85 84]	[ 6  6 89 90]
[ 8  8 84 80]	[ 6  8 90 87]
[ 8  8 80 82]	[ 8  8 87 84]
[ 8  1 82 84]	[ 8  8 84 82]
[-1 -1 -1 -1]	[ 8  1 82 84]
[ 8  8 80 82]	[ 1 -1 84 85]
[ 8  1 82 84]	[-1 -1 85 82]
[ 1  1 84 85]	[-1  1 82 84]
[ 1  1 85 80]	[ 1  1 84 85]
[ 1  1 80 82]	[ 1  1 85 77]
[ 1  1 82 80]	[ 1  1 77 77]
[ 1  1 80 78]	[ 1  1 77 80]
[ 1  1 78 77]	[ 1  1 80 78]
[ 1  1 77 73]	[ 1  1 78 77]
[ 1  1 73 77]	[ 1  1 77 73]
[ 1  1 77 78]	[ 1  1 73 77]
[ 1  1 78 80]	[ 1  1 77 80]
[ 1  1 80 82]	[ 1  1 80 80]
[ 1  1 82 80]	[ 1  1 80 77]
[ 1  1 80 77]	[ 1 15 77 80]
[ 1  1 77 73]	[15 15 80 82]
[ 1  1 73 77]	[15 15 82 75]
[ 1  1 77 73]	[15 15 75 75]
[ 1  1 73 77]	[15 15 75 78]
[ 1  1 77 80]	[15 15 78 75]
[ 1  1 80 80]	[15  6 75 75]
[ 1  1 80 80]	[ 6  6 75 82]
[ 1  1 80 82]	[ 6  6 82 85]
[ 1  1 82 80]	[ 6  8 85 82]
[ 1  1 80 77]	[ 8  8 82 80]
[ 1  1 77 80]	[ 8  8 80 77]
[ 1  1 80 80]	[ 8  1 77 80]
[ 1  1 80 80]	[ 1  1 80 85]
[ 1  1 80 82]	[ 1  1 85 77]
[ 1  1 82 80]	[ 1  1 77 77]
[ 1  1 80 78]	[ 1  1 77 80]
[ 1  1 78 77]	[ 1  1 80 78]
[ 1  1 77 73]	[ 1  1 78 77]
[ 1  1 73 77]	[ 1  1 77 73]
[ 1  1 77 78]	[ 1  1 73 77]
[ 1  1 78 80]	[ 1  1 77 80]
[ 1  1 80 77]	[ 1  1 80 80]
[ 1  1 77 80]	[ 1  1 80 77]
[ 1  1 80 85]	[ 1  6 77 80]
[ 1  1 85 84]	[ 6  6 80 82]
[ 1  1 84 85]	[ 6  6 82 84]
[ 1  1 85 87]	[ 6  8 84 85]
[ 1  1 87 89]	[ 8  8 85 87]
[ 1  1 89 87]	[ 8  8 87 89]
[ 1  1 87 85]	[ 8  1 89 90]
[ 1  1 85 84]	[ 1  1 90 89]
[ 1  1 84 85]	[ 1  1 89 85]
[ 1  1 85 84]	[ 1  1 85 85]
[ 1  1 84 85]	[ 1  1 85 85]
[ 1  1 85 84]	[ 1  1 85 82]
[ 1  1 84 85]	[ 1  1 82 84]
[ 1  1 85 84]	[ 1  1 84 85]
[ 1  1 84 85]	[ 1  1 85 89]
[ 1  1 85 85]	[ 1  8 89 85]
[ 1  1 85 85]	[ 8  8 85 84]
[ 1  1 85 84]	[ 8  8 84 87]
[ 1  1 84 85]	[ 8 22 87 84]
[ 1  1 85 80]	[22 22 84 82]
[ 1  1 80 82]	[22 22 82 85]
[ 1  1 82 80]	[22  1 85 82]
[ 1  1 80 77]	[ 1  1 82 80]
[ 1  1 77 80]	[ 1  1 80 78]
[ 1  1 80 77]	[ 1 15 78 77]
[ 1  1 77 73]	[15 15 77 82]
[ 1  1 73 77]	[15 15 82 75]
[ 1  1 77 73]	[15 15 75 75]
[ 1  1 73 77]	[15 15 75 78]
[ 1  1 77 80]	[15 15 78 75]
[ 1  1 80 80]	[15  6 75 75]
[ 1  1 80 80]	[ 6  6 75 82]
[ 1  1 80 82]	[ 6  6 82 85]
